Decision_Area,Decision_Node,Option,Pros,Cons,Risks,Irreversibility_Level,Evidence/Links,Prototype_To_Validate,Owner,Status,Decision_Date
Design,UI kit adoption policy,Kits as production base,Very fast path to visual completeness,Brand and behavior constraints from vendor kit,Lock-in and future override costs,High,docs/constitution/03-design.md;https://www.uiguideline.com/kits/untitled-ui,Production pilot with one kit and debt log,Design Lead,Considered,
Design,UI kit adoption policy,No kit usage,Maximum design-system ownership,Slowest prototyping throughput,Risk of delayed validation cycles,Medium,docs/constitution/03-design.md;https://www.uiguideline.com/kits,Baseline speed benchmark without kits,Design Lead,Considered,
Tech Stack,Frontend archetype,Next.js server-first React,Large ecosystem and fullstack path,Caching and boundary complexity,Stale data and architecture confusion,High,docs/constitution/04-frontend.md,Vertical slice benchmark on Today route and Inbox,Engineering Lead,Recommended (MVP bias),2026-03-02
Tech Stack,Frontend archetype,Remix progressive enhancement,Strong web fundamentals and form reliability,Smaller pattern standardization for complex state,Needs internal conventions for app shell complexity,High,docs/constitution/04-frontend.md,Vertical slice with offline-safe form flows,Engineering Lead,Considered,
Tech Stack,Frontend archetype,SvelteKit compiler-led,Responsive UX and potentially smaller bundles,Team adoption and hiring shift,Migration risk if ecosystem fit is weak,High,docs/constitution/04-frontend.md,Vertical slice with Planner and minimal Studio route,Engineering Lead,Considered,
Tech Stack,Backend architecture pattern,Modular monolith,Fast coherent delivery and simpler ops,Requires strict module boundaries,Monolith entropy if governance slips,High,docs/constitution/05-backend.md,Complexity and operability scorecard spike,Engineering Lead,Recommended (MVP bias),2026-03-02
Tech Stack,Backend architecture pattern,Serverless-first composition,Low infra ops and elastic scaling,Runtime and vendor constraints,Cold starts and distributed debugging pain,High,docs/constitution/05-backend.md,Load and latency spike on critical APIs,Engineering Lead,Considered,
Tech Stack,Backend architecture pattern,Early microservices,Independent scaling per domain,High coordination and platform overhead,Premature complexity for current team size,High,docs/constitution/05-backend.md,Service boundary simulation and on-call model,Engineering Lead,Considered,
Tech Stack,Data and auth platform combo,Postgres plus ORM plus managed auth,Portability and strong relational integrity,More integration work than all-in-one stacks,Longer setup before feature velocity,High,docs/constitution/05-backend.md,Auth and permissions proof-of-concept with RLS model,Engineering Lead,Considered,
Tech Stack,Data and auth platform combo,Supabase integrated stack,Fast integrated build with Postgres core,Platform coupling and SDK dependence,Migration friction if requirements diverge,High,docs/constitution/05-backend.md,Prototype auth realtime and offline queue replay,Engineering Lead,Recommended (MVP bias),2026-03-02
Tech Stack,Data and auth platform combo,Firebase Firestore plus Firebase Auth,Strong realtime and offline primitives,Query and modeling constraints for relational needs,Vendor lock-in and cost unpredictability,High,docs/constitution/05-backend.md,Prototype collaborative updates and data query workload,Engineering Lead,Considered,
Tech Stack,Offline and canvas posture,Offline queue first and canvas minimal V1,Protects Planner reliability and fast re-entry,Slower canvas ambition,Perception of limited Studio value early,High,docs/constitution/04-frontend.md;docs/constitution/05-backend.md,Offline capture replay and sync freshness test,Engineering Lead,Recommended (MVP bias),2026-03-02
Tech Stack,Offline and canvas posture,Offline minimum plus canvas MVP now,Validates two strategic bets early,Raises execution complexity and perf risk,Planner performance regressions,High,docs/constitution/04-frontend.md;docs/constitution/05-backend.md,Dual-route performance and reliability spike,Engineering Lead,Considered,
Tech Stack,Offline and canvas posture,Online-first Planner now with offline later,Fastest initial launch path,Violates fast re-entry resilience intent,Higher rework and trust risk post-launch,High,docs/constitution/04-frontend.md;docs/constitution/05-backend.md,Post-launch retrofit effort estimate,Engineering Lead,Considered,
Competitive Positioning,Nova-Influence Loop Integration,Integrate Reflective Review in Review phase,Adds emotional support without changing core loop,Needs careful prompt calibration,Risk of shallow prompts that feel cosmetic,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md;https://nova.lightmode.io/,Review prompt A B test on completion and re-entry,Product Lead,Recommended (MVP bias),2026-03-02
Competitive Positioning,Nova-Influence Loop Integration,Integrate reflection in Review and Clarify handoff,Can improve planning quality and emotional continuity,More workflow complexity across two stages,Risk of added friction in daily planning,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md;https://nova.lightmode.io/,Prototype dual-stage reflection and measure drop-off,Product Lead,Considered,
Competitive Positioning,Nova-Influence Loop Integration,Do not integrate Nova-like reflection patterns,Protects strict execution focus and simplicity,Misses emotional UX differentiation,Lower return motivation for reflection-driven users,Low,docs/constitution/01-core.md;docs/constitution/02-product.md;https://nova.lightmode.io/,Control cohort without reflective prompts,Product Lead,Considered,
Competitive Positioning,Reflective Surface Model,Keep reflection inside existing Review only,Preserves planner-first surface model and object clarity,Less room for rich ritual experiences,Risk of underwhelming emotional engagement,Medium,docs/constitution/02-product.md;docs/constitution/03-design.md;https://nova.lightmode.io/,Prototype richer Review card stack,Product Lead,Recommended (MVP bias),2026-03-02
Competitive Positioning,Reflective Surface Model,Add lightweight reflection card lane in Planner,Creates visible emotional context without new route,May clutter Today information hierarchy,Risk of feed-like drift in Planner,Medium,docs/constitution/02-product.md;docs/constitution/03-design.md;https://nova.lightmode.io/,Prototype Planner header reflection lane,Product Lead,Considered,
Competitive Positioning,Reflective Surface Model,Add separate Reflection mode surface,Allows deeper ritual and journaling flow,Adds third primary behavior model,Risk of scope creep and object model fragmentation,High,docs/constitution/02-product.md;docs/constitution/03-design.md;https://nova.lightmode.io/,Time-boxed Reflection mode prototype with retention readout,Product Lead,Considered,
Competitive Positioning,Emotional UX and Onboarding Strategy,Borrow microcopy and ritual framing only,Fast uplift to perceived meaning and warmth,Limited behavioral impact on its own,Risk of superficial polish without outcome lift,Low,docs/constitution/03-design.md;https://nova.lightmode.io/,Onboarding copy test with activation metrics,Product Lead,Recommended (MVP bias),2026-03-02
Competitive Positioning,Emotional UX and Onboarding Strategy,Borrow guided ritual onboarding plus daily prompts,Strong onboarding differentiation and habit cueing,Higher content and UX maintenance burden,Risk of soft accountability replacing execution rigor,Medium,docs/constitution/02-product.md;docs/constitution/03-design.md;https://nova.lightmode.io/,Two-week onboarding ritual cohort test,Product Lead,Considered,
Competitive Positioning,Emotional UX and Onboarding Strategy,Keep utilitarian onboarding and execution messaging,Maintains structural clarity and low ambiguity,Lower emotional resonance for reflection-seeking users,Risk of weak early attachment,Low,docs/constitution/02-product.md;docs/constitution/03-design.md;https://nova.lightmode.io/,Baseline onboarding funnel benchmark,Product Lead,Considered,
Tech Stack,Frontend delivery model,Single framework for marketing + app,Simplest repo/tooling; one routing/rendering model; fewer integration edges,May ship more JS than needed on marketing/docs; harder to enforce “HTML-first” discipline,Performance regressions on content surfaces; pressure to make app framework do everything,Medium,docs/constitution/04-frontend.md;docs/constitution/03-design.md,Ship a marketing + docs page and one Planner slice; measure bundle + LCP/INP,Engineering Lead,Considered,
Tech Stack,Frontend delivery model,Split: Astro for marketing/docs + app framework for planner,Astro enforces low-JS for content; planner can stay optimized for app UX; clear separation of concerns,Two frameworks and build pipelines; shared design tokens need a disciplined pipeline,Drift between marketing and app styling if tokens aren’t single-source; more CI complexity,Medium,docs/constitution/04-frontend.md;docs/constitution/03-design.md,Astro marketing shell + Next/Remix planner slice; shared token build to CSS vars,Engineering Lead,Recommended (MVP bias),2026-03-02
Tech Stack,Frontend delivery model,Astro for full app (islands everywhere),Strong performance defaults; minimal JS by default,Planner is highly interactive; may rebuild SPA patterns inside islands and lose benefits,Complex app state conventions; long-term maintenance cost if app grows beyond islands sweet spot,High,docs/constitution/04-frontend.md,Planner vertical slice implemented as React/Svelte islands; assess state complexity,Engineering Lead,Considered,
Tech Stack,Canvas engine selection,"Excalidraw (open-source, MIT) embedded/extended",Open-source posture; strong community; local-first/offline-friendly patterns; no production license fee,Hand-drawn aesthetic may require theming effort; integrating as an SDK requires careful wrapping,Customization scope creep; performance tuning needed for large boards,High,docs/constitution/04-frontend.md,Embed minimal board referencing Praxis objects; test offline persistence + export,Engineering Lead,Recommended (MVP bias),2026-03-02
Tech Stack,Canvas engine selection,tldraw (production license required),Polished SDK and extensible model; DOM-based renderer can ease embedded rich content,Production licensing; potential lock-in; need to manage license key and terms,Cost/terms change risk; future constraints if roadmap diverges from SDK capabilities,High,docs/constitution/04-frontend.md,License check + embed spike; measure performance and integration complexity,Engineering Lead,Considered,
Tech Stack,Canvas engine selection,Custom minimal canvas (no external engine),Full control and minimal dependency surface; tailor exactly to “pointers + layout metadata” model,"Slowest to build; higher bug surface; must implement selection, pan/zoom, drag, export",Opportunity cost; accessibility + drag alternatives are harder without mature tooling,High,docs/constitution/04-frontend.md;docs/constitution/03-design.md,2-week spike for pan/zoom + node layout + link lines + keyboard alternatives,Engineering Lead,Considered,
